은행명,적금,만기일자,기본금리,우대금리
중소기업은행,IBK D-day적금(자유적립식),1,2.45,3.95
중소기업은행,IBK D-day적금(자유적립식),3,2.45,3.95
중소기업은행,IBK D-day적금(자유적립식),6,2.65,4.2
중소기업은행,IBK D-day적금(자유적립식),12,2.85,4.35
중소기업은행,IBK모으기통장(자유적립식),6,2.45,2.47
중소기업은행,IBK모으기통장(자유적립식),12,2.55,2.57
중소기업은행,IBK모으기통장(자유적립식),24,2.55,2.57
중소기업은행,IBK모으기통장(자유적립식),36,2.55,2.57
중소기업은행,IBK중기근로자우대적금(자유적립식),12,2.5,4.4
중소기업은행,IBK탄소제로적금(자유적립식),12,2.5,4.5
국민은행,KB국민프리미엄적금(정액),12,2.5,3.4
국민은행,KB국민프리미엄적금(정액),24,2.7,3.7
국민은행,KB국민프리미엄적금(정액),36,2.8,4
국민은행,KB내맘대로적금,6,2.3,2.9
국민은행,KB내맘대로적금,12,2.55,3.15
국민은행,KB내맘대로적금,24,2.75,3.35
국민은행,KB내맘대로적금,36,2.95,3.55
국민은행,KB맑은하늘적금,12,2.45,3.25
국민은행,KB맑은하늘적금,24,2.55,3.45
국민은행,KB맑은하늘적금,36,2.85,3.85
국민은행,KB특★한적금,1,2,6
국민은행,KB특★한적금,3,2,6
국민은행,KB특★한적금,6,2,6
우리은행,WON적금,12,2.95,3.15
하나은행,내맘적금 (자유적립식),6,1.5,2
하나은행,내맘적금 (자유적립식),12,1.5,2
하나은행,내맘적금 (자유적립식),24,1.6,2.1
하나은행,내맘적금 (자유적립식),36,1.7,2.2
하나은행,내맘적금 (정액적립식),6,2,2.5
하나은행,내맘적금 (정액적립식),12,2.1,2.6
하나은행,내맘적금 (정액적립식),24,2.2,2.7
하나은행,내맘적금 (정액적립식),36,2.3,2.8
신한은행,알.쏠 적금,12,2.45,3.75
신한은행,알.쏠 적금,24,2.45,3.75
신한은행,알.쏠 적금,36,2.45,3.75
우리은행,우리SUPER주거래적금,12,2.15,3.55
우리은행,우리SUPER주거래적금,24,2.15,3.55
우리은행,우리SUPER주거래적금,36,2.15,3.55
하나은행,주거래하나 월복리적금,12,2.75,1
하나은행,주거래하나 월복리적금,24,2.8,1
하나은행,주거래하나 월복리적금,36,2.85,1
카카오뱅크,카카오뱅크 26주적금,6,2,5
카카오뱅크,카카오뱅크 우리아이적금,12,3,7
카카오뱅크,카카오뱅크 자유적금,6,3,3.2
카카오뱅크,카카오뱅크 자유적금,12,3.15,3.35
카카오뱅크,카카오뱅크 자유적금,24,2.6,2.8
카카오뱅크,카카오뱅크 한달적금,1,0.5,6
토스뱅크 주식회사,토스뱅크 굴비 적금,6,1.8,4.3
토스뱅크 주식회사,토스뱅크 아이 적금,12,2.5,5
토스뱅크 주식회사,토스뱅크 자유 적금,3,1.3,1.8
토스뱅크 주식회사,토스뱅크 자유 적금,6,1.8,2.3
토스뱅크 주식회사,토스뱅크 자유 적금,12,2.5,3
토스뱅크 주식회사,토스뱅크 자유 적금,24,2.5,3
토스뱅크 주식회사,토스뱅크 자유 적금,36,2.5,3
토스뱅크 주식회사,토스뱅크 키워봐요 적금,6,1.8,3.8
